[2023-09-01 10:41:05,846]160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2023-09-01 10:41:06,469]23 root - INFO - Entered data ingestion method or components
[2023-09-01 10:41:06,472]26 root - INFO - read the dataset as dataframe
[2023-09-01 10:41:06,472]30 root - INFO - Train test split initiated
[2023-09-01 10:41:06,477]37 root - INFO - Ingestion of the data is completed
[2023-09-01 10:41:06,477]23 root - INFO - Entered data ingestion method or components
[2023-09-01 10:41:06,479]26 root - INFO - read the dataset as dataframe
[2023-09-01 10:41:06,479]30 root - INFO - Train test split initiated
[2023-09-01 10:41:06,484]37 root - INFO - Ingestion of the data is completed
[2023-09-01 10:41:06,486]70 root - INFO - Read train and test completed
[2023-09-01 10:41:06,486]72 root - INFO - obtening preprocessor object
[2023-09-01 10:41:06,486]51 root - INFO - Numerical Columns: ['Weight after TB Treatment(kg)']
[2023-09-01 10:41:06,486]52 root - INFO - Categorical Columns: ['Site of disease', 'GeneXpert results - MTB', 'Method of TB confirmation', 'Control After TB Treatment', 'Control After 2 month', 'Control After 5 month', 'Smear specimen result', 'Previous treatment history']
[2023-09-01 10:41:06,487]85 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
