[2023-09-01 13:34:32,585]160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2023-09-01 13:34:33,224]23 root - INFO - Entered data ingestion method or components
[2023-09-01 13:34:33,227]26 root - INFO - read the dataset as dataframe
[2023-09-01 13:34:33,227]30 root - INFO - Train test split initiated
[2023-09-01 13:34:33,233]37 root - INFO - Ingestion of the data is completed
[2023-09-01 13:34:33,233]23 root - INFO - Entered data ingestion method or components
[2023-09-01 13:34:33,235]26 root - INFO - read the dataset as dataframe
[2023-09-01 13:34:33,235]30 root - INFO - Train test split initiated
[2023-09-01 13:34:33,239]37 root - INFO - Ingestion of the data is completed
[2023-09-01 13:34:33,242]70 root - INFO - Read train and test completed
[2023-09-01 13:34:33,242]72 root - INFO - obtening preprocessor object
[2023-09-01 13:34:33,242]51 root - INFO - Numerical Columns: ['Weight after TB Treatment(kg)']
[2023-09-01 13:34:33,242]52 root - INFO - Categorical Columns: ['Site of disease', 'GeneXpert results - MTB', 'Method of TB confirmation', 'Control After TB Treatment', 'Control After 2 month', 'Control After 5 month', 'Smear specimen result', 'Previous treatment history']
[2023-09-01 13:34:33,243]85 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[2023-09-01 13:34:33,249]98 root - INFO - Saved preprocessing objects.
